ANIMAL_ID,ANIMAL_TYPE,DATETIME,NAME,SEX_UPON_OUTCOME
A349480,Dog,2013-12-22 11:30,Daisy,Spayed Female
A349733,Dog,2017-09-27 19:09,Allie,Spayed Female
A349990,Cat,2018-02-02 14:18,Spice,Spayed Female
A349996,Cat,2018-02-02 14:17,Sugar,Neutered Male
A350276,Cat,2018-01-28 17:51,Jewel,Spayed Female
A350375,Cat,2017-05-23 16:17,Meo,Neutered Male
A352555,Dog,2014-08-10 18:57,Harley,Spayed Female
A352713,Cat,2017-04-25 12:25,Gia,Spayed Female
A352872,Dog,2015-07-16 17:58,Peanutbutter,Neutered Male
A353259,Dog,2016-05-09 10:40,Bj,Neutered Male
A354540,Cat,2015-01-22 12:07,Tux,Neutered Male
A354597,Cat,2014-06-03 12:30,Ariel,Spayed Female
A354725,Dog,2015-08-29 15:17,Kia,Spayed Female
A354753,Dog,2017-04-22 11:27,Sammy,Neutered Male
A355519,Dog,2015-05-09 11:15,Faith,Spayed Female
A355688,Dog,2014-02-23 17:48,Shadow,Neutered Male
A355753,Dog,2015-09-19 18:08,Elijah,Neutered Male
A357021,Dog,2014-12-04 15:34,Queens,Spayed Female
A357444,Dog,2016-03-14 17:24,Puppy,Neutered Male
A357846,Dog,2016-03-17 18:32,Happy,Neutered Male
A358697,Dog,2015-02-12 18:50,Fuzzo,Neutered Male
A358879,Dog,2015-09-15 16:22,Simba,Neutered Male
A361391,Dog,2015-04-20 11:23,Baby Bear,Neutered Male
A362103,Dog,2014-11-19 15:35,Stitch,Neutered Male
A362137,Dog,2014-01-01 7:39,*Darcy,Spayed Female
A362383,Dog,2016-03-22 17:53,*Morado,Neutered Male
A362707,Dog,2017-01-10 10:44,Girly Girl,Spayed Female
A362967,Dog,2014-06-15 11:14,Honey,Spayed Female
A363653,Dog,2014-11-18 11:55,Goofy,Neutered Male
A364429,Dog,2015-09-28 18:13,Hugo,Neutered Male
A365172,Dog,2014-08-30 16:47,Diablo,Neutered Male
A365302,Dog,2017-01-08 17:29,Minnie,Spayed Female
A367012,Dog,2015-09-16 13:07,Miller,Neutered Male
A367438,Dog,2015-09-12 13:30,Cookie,Spayed Female
A367747,Dog,2014-11-04 8:34,Woody,Neutered Male
A368742,Dog,2018-02-03 16:06,Stormy,Spayed Female
A368930,Dog,2014-06-13 15:52,,Spayed Female
A370439,Dog,2016-06-25 14:15,Sniket,Neutered Male
A370507,Cat,2015-08-15 9:24,Emily,Spayed Female
A370852,Dog,2013-11-08 13:19,Katie,Spayed Female
A371000,Cat,2015-10-02 12:19,Greg,Neutered Male
A371102,Dog,2015-08-03 12:19,Ceballo,Neutered Male
A371344,Dog,2015-05-11 15:43,Sailor,Neutered Male
A371534,Dog,2016-06-07 18:55,April,Spayed Female
A373219,Cat,2014-08-05 16:16,Ella,Spayed Female
A373687,Dog,2014-04-08 14:05,Rosie,Spayed Female
A375393,Dog,2015-06-13 14:22,Dash,Neutered Male
A376322,Dog,2014-02-18 16:53,Mama Dog,Spayed Female
A376459,Dog,2017-07-09 13:53,Dora,Spayed Female
A377750,Dog,2017-10-26 14:19,Lucy,Spayed Female
A378348,Dog,2014-04-23 7:43,Frijolito,Neutered Male
A378353,Dog,2014-08-02 12:31,Lyla,Intact Female
A378818,Dog,2014-07-07 16:34,Zoe,Spayed Female
A378946,Dog,2017-10-14 18:31,Mercedes,Spayed Female
A379998,Dog,2013-10-25 12:53,Disciple,Intact Male
A380009,Dog,2016-02-12 14:32,Pickle,Spayed Female
A380320,Dog,2014-02-05 14:26,Scooby,Neutered Male
A380420,Dog,2018-02-22 7:06,Laika,Spayed Female
A380506,Dog,2016-01-23 12:43,Ruby,Spayed Female
A381173,Dog,2014-08-06 17:12,Pepper,Spayed Female
A381217,Dog,2017-06-09 18:51,Cherokee,Neutered Male
A382192,Dog,2015-03-16 13:46,Maxwell 2,Neutered Male
A382251,Dog,2014-11-08 19:01,Princess,Spayed Female
A383036,Cat,2014-06-28 13:40,Oreo,Neutered Male
A383964,Dog,2017-02-05 17:56,Finney,Neutered Male
A384360,Cat,2014-07-16 18:34,Jj,Neutered Male
A384568,Cat,2014-12-28 13:47,Jedi,Neutered Male
A385442,Dog,2014-01-11 16:00,Clyde,Neutered Male
A386005,Dog,2015-09-26 11:15,Giovanni,Neutered Male
A386276,Cat,2015-12-28 16:24,Tiko,Neutered Male
A386688,Dog,2015-08-29 17:46,Punch,Neutered Male
A387083,Dog,2014-02-12 11:12,Goldie,Spayed Female
A387965,Dog,2014-06-27 11:13,Dakota,Spayed Female
A388360,Dog,2015-12-26 13:19,Spider,Neutered Male
A388691,Dog,2015-11-29 18:40,Blaze,Neutered Male
A390222,Dog,2013-12-15 17:10,Holly,Spayed Female
A391512,Dog,2016-04-06 18:14,Rome,Neutered Male
A391858,Dog,2017-03-19 18:12,Nellie,Spayed Female
A392027,Dog,2014-01-31 18:55,Penny,Spayed Female
A392075,Dog,2013-11-20 17:04,Skips,Neutered Male
A392615,Dog,2015-07-26 15:18,Chip,Neutered Male
A394547,Dog,2015-01-25 11:15,Snickerdoodl,Spayed Female
A395451,Dog,2016-01-03 15:54,Logan,Neutered Male
A396810,Dog,2016-12-23 13:19,Raven,Spayed Female
A397882,Dog,2017-07-12 16:41,Charlie,Neutered Male
A399421,Dog,2015-08-25 18:23,Lucy,Spayed Female
A399552,Dog,2013-10-18 13:46,Jack,Neutered Male
A400498,Dog,2016-10-15 13:57,Reggie,Neutered Male
A400680,Dog,2017-10-02 14:35,Lucy,Spayed Female
A403564,Dog,2013-11-18 18:51,Anna,Spayed Female
A405494,Dog,2014-05-20 11:44,Kaila,Spayed Female
A406756,Dog,2016-05-14 11:30,Sabrina,Spayed Female
