history_id,car_id,start_date,end_date
506,15,2022-08-01 0:00,2022-08-02 0:00
507,26,2022-08-01 0:00,2022-11-09 0:00
508,27,2022-08-01 0:00,2022-08-02 0:00
510,29,2022-08-02 0:00,2022-08-05 0:00
511,13,2022-08-03 0:00,2022-08-07 0:00
512,27,2022-08-03 0:00,2022-08-04 0:00
513,28,2022-08-03 0:00,2022-08-03 0:00
517,2,2022-08-05 0:00,2022-08-07 0:00
518,5,2022-08-05 0:00,2022-08-08 0:00
519,23,2022-08-05 0:00,2022-08-06 0:00
520,25,2022-08-05 0:00,2022-08-07 0:00
521,27,2022-08-05 0:00,2022-08-06 0:00
523,7,2022-08-06 0:00,2022-08-08 0:00
524,8,2022-08-06 0:00,2022-08-06 0:00
527,8,2022-08-07 0:00,2022-08-11 0:00
528,19,2022-08-07 0:00,2022-09-16 0:00
529,28,2022-08-07 0:00,2022-08-21 0:00
530,29,2022-08-07 0:00,2022-08-11 0:00
531,23,2022-08-08 0:00,2022-08-21 0:00
532,25,2022-08-08 0:00,2022-08-09 0:00
534,2,2022-08-09 0:00,2022-08-09 0:00
535,5,2022-08-09 0:00,2022-08-09 0:00
536,27,2022-08-09 0:00,2022-08-16 0:00
537,2,2022-08-10 0:00,2022-08-20 0:00
538,5,2022-08-10 0:00,2022-08-10 0:00
539,9,2022-08-10 0:00,2022-08-10 0:00
540,15,2022-08-10 0:00,2022-09-19 0:00
542,25,2022-08-11 0:00,2022-08-12 0:00
545,5,2022-08-12 0:00,2022-09-21 0:00
546,8,2022-08-12 0:00,2022-08-13 0:00
547,13,2022-08-12 0:00,2022-08-14 0:00
548,16,2022-08-13 0:00,2022-08-13 0:00
549,29,2022-08-13 0:00,2022-08-13 0:00
551,7,2022-08-14 0:00,2022-08-15 0:00
552,25,2022-08-14 0:00,2022-08-14 0:00
556,8,2022-08-16 0:00,2022-08-23 0:00
558,6,2022-08-17 0:00,2022-09-21 0:00
559,13,2022-08-17 0:00,2022-08-19 0:00
560,16,2022-08-17 0:00,2022-11-15 0:00
561,25,2022-08-17 0:00,2022-08-27 0:00
562,9,2022-08-18 0:00,2022-08-20 0:00
564,7,2022-08-19 0:00,2022-08-22 0:00
567,10,2022-08-20 0:00,2022-08-21 0:00
568,2,2022-08-21 0:00,2022-08-23 0:00
569,29,2022-08-21 0:00,2022-11-29 0:00
571,9,2022-08-22 0:00,2022-10-01 0:00
573,7,2022-08-23 0:00,2022-09-22 0:00
574,13,2022-08-23 0:00,2022-08-24 0:00
575,2,2022-08-24 0:00,2022-08-28 0:00
576,27,2022-08-24 0:00,2022-09-23 0:00
577,10,2022-08-25 0:00,2022-08-26 0:00
578,23,2022-08-25 0:00,2022-09-01 0:00
579,28,2022-08-25 0:00,2022-09-08 0:00
581,8,2022-08-26 0:00,2022-08-27 0:00
582,10,2022-08-27 0:00,2022-08-29 0:00
583,13,2022-08-27 0:00,2022-09-06 0:00
586,8,2022-08-29 0:00,2022-08-30 0:00
587,11,2022-08-29 0:00,2022-08-29 0:00
591,8,2022-09-01 0:00,2022-09-11 0:00
592,10,2022-09-01 0:00,2022-09-02 0:00
593,25,2022-09-01 0:00,2022-09-03 0:00
594,12,2022-09-02 0:00,2022-09-15 0:00
595,10,2022-09-03 0:00,2022-09-18 0:00
596,11,2022-09-04 0:00,2022-09-04 0:00
597,23,2022-09-04 0:00,2022-09-07 0:00
601,2,2022-09-05 0:00,2022-10-05 0:00
602,20,2022-09-05 0:00,2022-09-06 0:00
603,18,2022-09-06 0:00,2022-09-07 0:00
604,22,2022-09-06 0:00,2022-09-06 0:00
605,25,2022-09-06 0:00,2022-09-09 0:00
606,22,2022-09-07 0:00,2022-12-06 0:00
607,24,2022-09-08 0:00,2022-09-11 0:00
609,18,2022-09-09 0:00,2022-09-12 0:00
610,20,2022-09-09 0:00,2022-09-12 0:00
611,13,2022-09-10 0:00,2022-09-11 0:00
613,4,2022-09-11 0:00,2022-10-21 0:00
614,28,2022-09-11 0:00,2022-09-12 0:00
615,11,2022-09-12 0:00,2022-09-13 0:00
616,25,2022-09-12 0:00,2022-09-14 0:00
618,8,2022-09-13 0:00,2022-09-14 0:00
619,18,2022-09-13 0:00,2022-09-15 0:00
620,28,2022-09-13 0:00,2022-12-22 0:00
621,11,2022-09-14 0:00,2022-09-16 0:00
622,13,2022-09-14 0:00,2022-09-21 0:00
623,20,2022-09-14 0:00,2022-09-15 0:00
624,24,2022-09-14 0:00,2022-09-14 0:00
626,23,2022-09-15 0:00,2022-09-16 0:00
627,8,2022-09-16 0:00,2022-09-16 0:00
628,12,2022-09-16 0:00,2022-09-18 0:00
629,18,2022-09-16 0:00,2022-10-16 0:00
630,20,2022-09-16 0:00,2022-10-16 0:00
631,8,2022-09-17 0:00,2022-09-19 0:00
