online_sale_id,user_id,product_id,sales_amount,sales_date
1,2,26,1,2022-01-01 0:00
2,7,1,1,2022-01-01 0:00
3,45,15,1,2022-01-01 0:00
4,154,7,1,2022-01-02 0:00
5,12,7,1,2022-01-02 0:00
6,152,7,1,2022-01-02 0:00
7,109,5,1,2022-01-02 0:00
8,120,4,1,2022-01-03 0:00
9,57,25,1,2022-01-03 0:00
10,109,13,1,2022-01-05 0:00
11,117,7,1,2022-01-05 0:00
12,2,30,1,2022-01-05 0:00
13,131,19,1,2022-01-05 0:00
14,154,29,1,2022-01-05 0:00
15,15,12,3,2022-01-05 0:00
16,90,24,2,2022-01-07 0:00
17,162,30,2,2022-01-07 0:00
18,92,26,1,2022-01-08 0:00
19,123,14,1,2022-01-08 0:00
20,126,9,1,2022-01-08 0:00
21,58,11,2,2022-01-08 0:00
22,149,8,1,2022-01-09 0:00
23,65,19,2,2022-01-09 0:00
24,23,7,1,2022-01-09 0:00
25,81,20,1,2022-01-12 0:00
26,42,19,1,2022-01-12 0:00
27,117,12,1,2022-01-12 0:00
28,108,27,1,2022-01-14 0:00
29,56,28,1,2022-01-15 0:00
30,4,27,2,2022-01-15 0:00
31,143,15,2,2022-01-15 0:00
32,84,8,1,2022-01-15 0:00
33,113,15,2,2022-01-17 0:00
34,120,29,1,2022-01-17 0:00
35,68,15,1,2022-01-17 0:00
36,127,29,1,2022-01-17 0:00
37,57,11,1,2022-01-17 0:00
38,134,18,1,2022-01-18 0:00
39,99,27,1,2022-01-18 0:00
40,101,9,1,2022-01-21 0:00
41,7,5,2,2022-01-21 0:00
42,29,15,1,2022-01-22 0:00
43,73,21,2,2022-01-22 0:00
44,23,26,2,2022-01-22 0:00
45,160,23,2,2022-01-22 0:00
46,134,26,1,2022-01-24 0:00
47,27,3,1,2022-01-24 0:00
48,15,12,3,2022-01-24 0:00
49,34,6,2,2022-01-24 0:00
50,151,26,2,2022-01-25 0:00
51,55,30,3,2022-01-25 0:00
52,78,19,1,2022-01-26 0:00
53,93,3,2,2022-01-26 0:00
54,114,1,1,2022-01-27 0:00
55,58,26,1,2022-01-27 0:00
56,118,1,2,2022-01-28 0:00
57,87,24,2,2022-01-29 0:00
58,22,8,1,2022-01-31 0:00
59,102,18,1,2022-01-31 0:00
60,117,22,1,2022-01-31 0:00
61,35,8,1,2022-01-31 0:00
62,170,25,1,2022-02-02 0:00
63,66,21,1,2022-02-02 0:00
64,14,18,1,2022-02-02 0:00
65,50,24,2,2022-02-02 0:00
66,133,17,1,2022-02-03 0:00
67,121,14,2,2022-02-04 0:00
68,66,4,1,2022-02-04 0:00
69,72,12,1,2022-02-06 0:00
70,62,29,2,2022-02-06 0:00
71,19,26,2,2022-02-06 0:00
72,74,9,1,2022-02-06 0:00
73,119,12,1,2022-02-07 0:00
74,111,30,2,2022-02-07 0:00
75,73,25,1,2022-02-07 0:00
76,46,1,2,2022-02-07 0:00
77,180,30,1,2022-02-09 0:00
78,145,8,1,2022-02-09 0:00
79,59,14,1,2022-02-09 0:00
80,29,26,1,2022-02-09 0:00
81,41,1,1,2022-02-11 0:00
82,157,30,1,2022-02-11 0:00
83,78,4,1,2022-02-11 0:00
84,139,9,1,2022-02-11 0:00
85,54,11,1,2022-02-11 0:00
86,110,9,1,2022-02-13 0:00
87,43,6,2,2022-02-13 0:00
88,53,12,1,2022-02-13 0:00
89,138,4,1,2022-02-13 0:00
90,73,8,1,2022-02-15 0:00
91,91,21,1,2022-02-15 0:00
92,37,1,2,2022-02-15 0:00
93,183,14,1,2022-02-15 0:00
94,60,15,1,2022-02-16 0:00
95,177,9,1,2022-02-16 0:00
96,88,28,1,2022-02-16 0:00
97,78,6,1,2022-02-16 0:00
98,42,30,1,2022-02-16 0:00
99,61,20,1,2022-02-17 0:00
100,123,25,1,2022-02-17 0:00
101,114,12,1,2022-02-20 0:00
102,52,15,1,2022-02-20 0:00
103,24,2,1,2022-02-22 0:00
104,5,12,1,2022-02-23 0:00
105,42,9,1,2022-02-23 0:00
106,134,22,1,2022-02-23 0:00
107,163,6,2,2022-02-23 0:00
108,184,24,2,2022-02-25 0:00
109,119,12,1,2022-02-25 0:00
110,190,25,1,2022-02-25 0:00
111,189,25,1,2022-02-26 0:00
112,2,21,1,2022-02-26 0:00
113,20,24,1,2022-02-28 0:00
114,13,27,2,2022-02-28 0:00
115,70,27,1,2022-03-01 0:00
116,98,3,1,2022-03-01 0:00
117,170,24,1,2022-03-03 0:00
118,68,1,1,2022-03-03 0:00
119,140,4,1,2022-03-06 0:00
120,126,21,2,2022-03-06 0:00
121,68,6,1,2022-03-06 0:00
122,103,29,2,2022-03-07 0:00
