product_id,product_code,price
1,C2000000,72000
2,C1000000,51000
3,D1000000,63000
4,D3000000,82000
5,B2000000,42000
6,D3000001,85000
7,C2000001,31000
8,C3000000,46000
9,A2000000,54000
10,B2000001,72000
11,C3000001,61000
12,A3000000,60000
13,C4000000,54000
14,C3000002,19000
15,D2000000,35000
16,A3000001,15000
17,D2000001,46000
18,B1000000,65000
19,D1000001,62000
20,B2000002,80000
21,A2000001,42000
22,C3000003,55000
23,C4000001,65000
24,C4000002,21000
25,A3000002,32000
26,D1000002,51000
27,D3000002,60000
28,A3000003,80000
29,C1000001,51000
30,A2000002,22000
