BOARD_ID,WRITER_ID,TITLE,CONTENTS,PRICE,CREATED_DATE,STATUS,VIEWS
B0001,kwag98,반려견 배변패드 팝니다,정말 저렴히 판매합니다. 전부 미개봉 새상품입니다.,12000,2022-10-01 0:00,DONE,250
B0002,lee871201,국내산 볶음참깨,직접 농사지은 참깨입니다.,3000,2022-10-02 0:00,DONE,141
B0003,goung12,배드민턴 라켓,사놓고 방치만 해서 팝니다.,9000,2022-10-02 0:00,SALE,212
B0004,keel1990,디올 귀걸이,신세계강남점에서 구입. 정품 아닐시 백퍼센트 환불,130000,2022-10-02 0:00,SALE,199
B0005,haphli01,스팸클래식 팔아요,유통기한 2025년까지에요,10000,2022-10-02 0:00,SALE,122
B0006,hanju23,제습기 가져가세요,사무실 용으로추천드립니다,20000,2022-10-03 0:00,DONE,123
B0007,s2s2123,커피글라인더,새상품처럼 깨끗합니다.,7000,2022-10-04 0:00,DONE,210
B0008,hong02,자전거 판매합니다,출퇴근용으로 구매했다가 사용하지 않아서 내놔요,40000,2022-10-04 0:00,SALE,301
B0009,yawoong67,선반 팝니다,6단 선반. 환불 반품 안됩니다.,12000,2022-10-05 0:00,DONE,202
B0010,keel1990,철제선반5단,철제선반 5단 조립식 팜,10000,2022-10-05 0:00,SALE,194
B0011,sangyoung58,아이폰14프로 256기가 자급제팔아요,단순변심으로 팔아요 깨끗해요,1500000,2022-10-05 0:00,DONE,178
B0012,hwahwa2,에어팟 프로 팔아요,모든 성능 이상 없구 생활기스 있어요,125000,2022-10-05 0:00,DONE,123
B0013,kwag98,삼성 65인치 led tv 팝니다,tv변경으로 팝니다.,320000,2022-10-05 0:00,RESERVED,132
B0014,whgkdkgo1,루이비통 카드지갑,단순변심을 팔아요,540000,2022-10-06 0:00,SALE,112
B0015,spdlqj12,아이리버 CD플레이어,라디오 및 블루투스 동작해요,30000,2022-10-06 0:00,DONE,133
B0016,miyeon89,캔들워머,추가 LED까지 함께 드려요.,20000,2022-10-06 0:00,DONE,166
B0017,spdlqj12,미니 식세기,6인용 식세기 팔아요,110000,2022-10-07 0:00,SALE,112
B0018,whgkdkgo1,컴퓨터 의자,의자 새로 구입해서 판배합니다.,15000,2022-10-08 0:00,SALE,157
B0019,miyeon89,조말론 향수,절반정도 남았는데 싸게 판매합니다.,30000,2022-10-09 0:00,SALE,154
B0020,hwahwa2,나이키 캡,택도 안뜯은 새거 팝니다.,16000,2022-10-10 0:00,DONE,174
B0021,spdlqj12,아기옷,아가방 아기옷 사이즈 작아서 팔아요,20000,2022-10-10 0:00,DONE,170
B0022,spdlqj12,저스트댄스 2022,PS5 버전 팝매합니다.,50000,2022-10-11 0:00,SALE,124
B0023,hwahwa2,구찌 크로스백,"작년에 구매했고, 실사용 거의없습니다.",380000,2022-10-11 0:00,SALE,131
B0024,xlqpfh2,영화관람관,롯데시네마 2장팝니다,18000,2022-10-11 0:00,SALE,122
B0025,hoho1112,두유,검은콩두유 10개 팔아요,5000,2022-10-12 0:00,DONE,130
B0026,xlaortm1,푸쉬업바,푸쉬업파 팝니다. 튼튼하고 좋아요,10000,2022-10-13 0:00,DONE,101
B0027,spdlqj12,엔진오일,5w30 기아 순정 4L 엔진오일 팔아요,35000,2022-10-12 0:00,SALE,110
B0028,s2s2123,카샴푸,소낙스 카샴푸 팝니다.,12000,2022-10-12 0:00,SALE,115
B0029,kwag98,책장,6단 책장 팔아요. 생활기스 약간 있어요,19000,2022-10-11 0:00,SALE,117
B0030,spdlqj12,아이패드 프로 4세대 12.9 팝니다,작년에 구매했어요,1200000,2022-10-13 0:00,SALE,112
B0031,tkfkdgo1,S22 팔아요,케이스 사용해서 완전 새것입니다.,310000,2022-10-15 0:00,SALE,90
B0032,s2s2123,스노우피크 캠핑의자,실사용 5회 미만입니다.,43000,2022-10-15 0:00,SALE,100
B0033,xlqpfh2,나이키 반팔티,집에서 편하게 입기 좋습니다.,5000,2022-10-14 0:00,SALE,155
B0034,dhfkzmf09,칼라거펠트 코트,양모 70%이상 코트입니다.,120000,2022-10-14 0:00,DONE,104
B0035,tkfkdgo1,퐁퐁 주방세제,주방세제 3개 같이 팔아요,10000,2022-10-11 0:00,SALE,99
B0036,dhfkzmf09,나이키 숏패팅,사이즈는 M입니다.,40000,2022-10-17 0:00,DONE,98
B0037,xlqpfh2,화장대,한샘 화장대 팝니다.,100000,2022-10-17 0:00,SALE,85
B0038,hong02,전자렌지,동작 정상적으로 잘되요. 사용감은 좀 있습니다.,20000,2022-10-16 0:00,SALE,84
B0039,hong02,통기타 팔아요,입문용으로 좋습니다.,30000,2022-10-18 0:00,SALE,88
B0041,xlqpfh2,갤럭시버즈,버즈2이고 정상동작해요,60000,2022-10-19 0:00,SALE,70
B0043,skeh123,캠핑 등유난로,등유난로 팝니다,10000,2022-10-22 0:00,SALE,86
B0044,dlPcks90,헬스의자,홈트용으로 좋습니다.,12000,2022-10-21 0:00,SALE,102
B0045,hong02,아기침대,영유야용 아기침대 팔아요,120000,2022-10-20 0:00,SALE,125
B0046,hong02,고야드 카드지갑,고야드 카드지갑 팔아요. 사용감 있습니다.,80000,2022-10-21 0:00,SALE,75
B0047,skeh123,구찌 카드지갑,작년 모델이고 싸게 내놔요,340000,2022-10-22 0:00,SALE,72
B0048,hoho1112,따수미텐트,침대 및 일반 바닥에 설치 가능합니다.,15000,2022-10-23 0:00,SALE,73
B0051,xlaortm1,건조대,건조대 무료나눔 합니다.,0,2022-10-26 0:00,SALE,66
B0052,xlqpfh2,컴퓨터의자,이사로 인해 무료 나눔해요,0,2022-10-26 0:00,SALE,78
B0053,hoho1112,스위치 oled,스위치 oled 팔아요,350000,2022-10-27 0:00,SALE,111
B0054,dlPcks90,젤다의전설,다들 아시는 그 명작입니다,40000,2022-10-28 0:00,SALE,84
B0055,xlaortm1,사과 한박스,직접 농사지은 사과입니다.,30000,2022-10-29 0:00,DONE,66
B0060,xlaortm1,이케아 의자,편하게 사용하는 의자 팔아요,10000,2022-11-01 0:00,DONE,156
B0064,dhfkzmf09,PS4,PS5 구매로인해 팝니다.,250000,2022-11-03 0:00,DONE,111
B0068,hakho11,스파이용권,분당스파 5회 이용권 팔아요,50000,2022-11-07 0:00,SALE,123
B0076,hakho11,폴로니트,M사이즈 판매합니다. 실착 2번이에용,60000,2022-11-12 0:00,DONE,33
B0078,hakju88,프라다 백팩,프라다 백팩 팔아요,40000,2022-11-13 0:00,SALE,129
B0082,hakju88,캠핑웨건 미사용 새거,분당 직거래 큰사이즈입니다.,20000,2022-11-18 0:00,SALE,141
B0084,hakju88,압력밥솥,쿠쿠 10인용 밥솥 팔아요,90000,2022-11-22 0:00,SALE,73
B0088,dhfkzmf09,철제선반,이사로인해 처분합니다,10000,2022-11-25 0:00,RESERVED,122
B0092,zkzkdh1,캠핑의자,가벼워요 깨끗한 상태입니다. 2개,25000,2022-11-29 0:00,SALE,34
B0094,hakju88,BTS 콘서트,부산 콘서트 티켓입니다. 초대권인데 양도합니다.(2장),300000,2022-11-28 0:00,RESERVED,42
B0095,miyeon89,벽걸이 에어컨,엘지 휘센 7평,100000,2022-11-29 0:00,SALE,55
